experiment,exp_type,strain,temperature,salinity_m,reading,day,st,od,od1,od2,od3,baseline_st,delta_gamma,delta_gamma_OD,wgs_code,species,environment,has_lipopeptide_bgc,bgc_type_lipopeptide,has_wgs
exp4,temp_only,SW1C-HB20,15°C,0,3,5,55.45,0.124,0.128,0.118,0.126,69.33,13.879999999999995,111.9354838709677,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,SW1C-HB20,30°C,0,3,5,54.77,0.20000000000000004,0.205,0.199,0.196,69.48,14.71,73.54999999999998,A1,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,H5G,4°C,0,4,7,69.1,0.03933333333333333,0.037,0.041,0.04,69.43,0.3300000000000125,8.389830508474894,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,15°C,0,4,7,68.04,0.6343333333333333,0.612,0.649,0.642,69.25,1.2099999999999937,1.9075144508670423,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5G,30°C,0,4,7,58.57,0.17300000000000001,0.17,0.171,0.178,69.31,10.740000000000002,62.08092485549133,A7,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,4°C,0,4,7,65.73,0.5516666666666667,0.543,0.559,0.553,69.67,3.9399999999999977,7.141993957703923,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,15°C,0,4,7,67.16,0.34500000000000003,0.341,0.346,0.348,69.61,2.450000000000003,7.101449275362326,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,H5B,30°C,0,4,7,58.94,0.15666666666666668,0.139,0.193,0.138,69.36,10.420000000000002,66.51063829787235,A10,B. thuringiensis,Qaidam,FALSE,NA,TRUE
exp4,temp_only,C8-P4,4°C,0,4,7,35.73,0.48333333333333334,0.484,0.485,0.481,69.14,33.410000000000004,69.1241379310345,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
exp4,temp_only,C8-P4,15°C,0,4,7,42.64,0.12233333333333334,0.121,0.122,0.124,68.34,25.700000000000003,210.08174386920982,A14,B. zhangzhouensis,Qaidam,TRUE,Lichenysin,TRUE
